fileNumber,accessionNumber,countFilings,countAmendments,countProgressUpdates,latestProgressUpdate,quarter,companyAge,initialTargetOffering,finalTargetOffering,initialCampaignDeadline,finalCampaignDeadline,unknownProgressUpdate,raisedAmount,securityOfferedType,noOfSecurityOffered,price,oversubscriptionAccepted,oversubscriptionAllocationType,maximumOfferingAmount,currentEmployees,totalAssetMostRecentFiscalYear,totalAssetPriorFiscalYear,cashEqMostRecentFiscalYear,cashEqPriorFiscalYear,accountsReceivedRecentFiscalYear,accountsReceivedPriorFiscalYear,shortTermDebtMRecentFiscalYear,shortTermDebtPriorFiscalYear,longTermDebtRecentFiscalYear,longTermDebtPriorFiscalYear,revenueMostRecentFiscalYear,revenuePriorFiscalYear,costGoodsSoldRecentFiscalYear,costGoodsSoldPriorFiscalYear,taxPaidMostRecentFiscalYear,taxPaidPriorFiscalYear,netIncomeMostRecentFiscalYear,netIncomePriorFiscalYear,issuerName,legalStatusForm,dateIncorporation,city,stateOrCountry,zipCode,issuerWebsite,filingDate,IntermediaryName,state (US),Country,Platform
020-27613,0001670254-21-000131,1,0,0,unknown,1Q,149,50000,50000,2022-04-30,2022-04-30,1,0.00,Debt,,1,Y,Other,1070000,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Harlan County Beer Company, LLC",Limited Liability Company,2020-09-15,Harlan,KY,40831,http://www.harlancountybeer.com,2021-02-11,Wefunder Portal LLC,KENTUCKY,United States,Wefunder Portal LLC
020-30267,0001665160-22-001733,2,0,0,unknown,2Q,148,9998.94,9998.94,2022-09-01,2022-09-01,1,0.00,Common Stock,3759,2.66,Y,Other,1069998.3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Reaper Robs, Inc.",Corporation,2022-01-04,Highlands Ranch,CO,80126,https://reaperrobs.com/,2022-06-01,StartEngine,COLORADO,United States,StartEngine
020-23019,0001684568-16-000002,3,2,0,unknown,4Q,37,100000,100000,2017-01-03,2017-01-03,1,0.00,Common Stock,2000000,0.05,Y,"First-come, first-served basis",1000000,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"PRESTIGE VISION, INC",Corporation,2016-08-30,PLANTATION,FL,33313,prestigevizion.com,2016-10-06,"UFP, LLC",FLORIDA,United States,others
020-23023,0001684628-16-000002,4,2,0,unknown,4Q,33,100000,100000,2017-01-12,2017-01-12,1,0.00,Common Stock,2000000,0.05,Y,"First-come, first-served basis",1000000,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"KAIDEN, INC.",Corporation,2016-09-09,WELLINGTON,FL,33414,kaideninc.com,2016-10-12,"UFP, LLC",FLORIDA,United States,others
020-22986,0001682697-16-000003,2,0,0,unknown,3Q,28,100000,100000,2016-12-02,2016-12-02,1,0.00,Common Stock,2000000,0.05,Y,"First-come, first-served basis",1000000,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Alive Global Water, Inc.",Corporation,2016-08-11,WELLINGTON,FL,33414,www.aliveglobalwater.com,2016-09-08,"UFP, LLC",FLORIDA,United States,others
020-22973,0001682495-16-000004,3,2,0,unknown,3Q,18,100000,100000,2016-11-17,2016-11-17,1,0.00,Common Stock,2000000,0.05,Y,"First-come, first-served basis",1000000,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Red Empire Real Estate Investments, Inc",Corporation,2016-08-01,FORT LAUDERDALE,FL,33312,redempire.us,2016-08-19,"UFP, LLC",FLORIDA,United States,others
020-22971,0001682495-16-000002,4,3,0,unknown,3Q,17,100000,100000,2016-11-17,2016-11-17,1,0.00,Common Stock,2000000,0.05,Y,"First-come, first-served basis",1000000,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Online Portal, Inc.",Corporation,2016-08-01,PEMBROKE PINES,FL,33025,onportal.com,2016-08-18,"UFP, LLC",FLORIDA,United States,others
020-22998,0001685112-16-000001,1,0,0,unknown,3Q,8,100000,100000,2016-12-20,2016-12-20,1,0.00,Common Stock,2000000,0.05,Y,"First-come, first-served basis",1000000,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Florida Equity Fund Inc,Corporation,2016-09-13,FT LAUDERDALE,FL,33339,floridaequityfund.com,2016-09-21,"UFP, LLC",FLORIDA,United States,others
020-22999,0001685112-16-000003,1,0,0,unknown,3Q,8,100000,100000,2016-12-20,2016-12-20,1,0.00,Common Stock,2000000,0.05,Y,"First-come, first-served basis",1000000,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Florida Equity Fund Inc,Corporation,2016-09-13,FT LAUDERDALE,FL,33339,floridaequityfund.com,2016-09-21,"UFP, LLC",FLORIDA,United States,others
020-23000,0001685112-16-000004,1,0,0,unknown,3Q,8,100000,100000,2016-12-20,2016-12-20,1,0.00,Common Stock,2000000,0.05,Y,"First-come, first-served basis",1000000,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Florida Equity Fund Inc,Corporation,2016-09-13,FT LAUDERDALE,FL,33339,floridaequityfund.com,2016-09-21,"UFP, LLC",FLORIDA,United States,others
020-23001,0001685112-16-000005,1,0,0,unknown,3Q,8,100000,100000,2016-12-20,2016-12-20,1,0.00,Common Stock,2000000,0.05,Y,"First-come, first-served basis",1000000,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Florida Equity Fund Inc,Corporation,2016-09-13,FT LAUDERDALE,FL,33339,floridaequityfund.com,2016-09-21,"UFP, LLC",FLORIDA,United States,others
020-23002,0001685112-16-000006,2,1,0,unknown,3Q,8,100000,100000,2016-12-20,2016-12-20,1,0.00,Common Stock,2000000,0.05,Y,"First-come, first-served basis",1000000,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Florida Equity Fund Inc,Corporation,2016-09-13,FT LAUDERDALE,FL,33339,floridaequityfund.com,2016-09-21,"UFP, LLC",FLORIDA,United States,others
020-24336,0001668287-18-000061,4,2,0,unknown,2Q,25,250000,250000,2019-03-12,2020-06-15,1,0.00,Other,250000,1,Y,Pro-rata basis,1000000,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bum Butt Corporation,Corporation,2018-05-07,South Jordan,UT,84095,www.bumbutt.com,2018-06-01,Razitall Inc,UTAH,United States,others
020-23261,0001670254-17-000043,6,4,0,unknown,1Q,366,100000,100000,2017-09-25,2018-05-30,1,0.00,Other,100000,1,Y,Other,1000000,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"GlobeChat, Inc.",Corporation,2016-03-28,San Juan Capistrano,CA,92675,http://info.GlobeChat.com,2017-03-29,Wefunder Portal LLC,CALIFORNIA,United States,Wefunder Portal LLC
020-29634,0001908197-22-000001,4,3,0,unknown,1Q,9,100000,100000,2022-08-01,2022-12-31,1,0.00,Common Stock,100000,1,Y,"First-come, first-served basis",1000000,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Join The Violution LLC,Limited Liability Company,2022-01-24,LAS VEGAS,NV,89139,theviolution.com,2022-02-02,Music Benefactors,NEVADA,United States,others
020-30392,0001670254-22-000691,1,0,0,unknown,2Q,186,50000,50000,2023-04-30,2023-04-30,1,0.00,Other,50000,1,Y,Other,1000000,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Benjamin Capital Partners, Inc",Corporation,2021-12-20,New York,NY,10017,http://www.benjaminone.com,2022-06-24,Wefunder Portal LLC,NEW YORK,United States,Wefunder Portal LLC
020-30800,0001665160-22-002297,2,0,0,unknown,3Q,48,10000,10000,2022-11-23,2022-11-23,1,0.00,Common Stock,4000,2.5,Y,Other,1000000,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,myButterfly.AI Inc.,Corporation,2022-07-08,Tampa,FL,33635,https://www.butterfly.ai/,2022-08-25,StartEngine,FLORIDA,United States,StartEngine
020-27461,0001830312-21-000002,1,0,0,unknown,1Q,78,50000,50000,2021-12-31,2021-12-31,1,0.00,Debt,,,Y,Other,1000000,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Medior Inc.,Corporation,2020-10-26,DEL MAR,CA,92014,https://mediorx.com,2021-01-12,"G.F. INVESTMENT SERVICES, LLC",CALIFORNIA,United States,others
020-28985,0001670254-21-001197,1,0,0,unknown,4Q,168,100000.7,100000.7,2022-04-30,2022-04-30,1,0.00,Preferred Stock,62016,1.6125,Y,Other,999999.76,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Black Sands Publishing Inc,Corporation,2021-05-04,Middletown,DE,19709,http://blacksandsentertainment.com,2021-10-19,Wefunder Portal LLC,DELAWARE,United States,Wefunder Portal LLC
020-23217,0001694334-17-000001,2,0,0,unknown,1Q,99,250000,250000,2017-03-23,2017-03-23,1,0.00,Debt,,1,Y,"First-come, first-served basis",900000,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"RatHaus Tempe, LLC",Limited Liability Company,2016-11-08,PHOENIX,AZ,85018,www.rathaususa.com,2017-02-15,"FlashFunders Funding Portal, LLC",ARIZONA,United States,others
020-29737,0001746059-22-000078,2,0,0,unknown,1Q,266,250000,250000,2022-05-31,2022-05-31,1,0.00,Debt,,1,Y,"First-come, first-served basis",750000,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mulligans Golf Inc,Corporation,2021-06-01,GRANBURY,TX,76049,facebook.com/Mulligans-Golf-and-Sports-Bar,2022-02-22,"MainVest, Inc.",TEXAS,United States,"MainVest, Inc."
020-24743,0001740883-18-000001,2,1,0,unknown,3Q,1327,10000,10000,2019-02-28,2019-07-31,1,0.00,Other,10000,1,Y,Pro-rata basis,600000,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Big Belly Brewing LLC,Limited Liability Company,2015-02-09,EATON,OH,45320,https://www.lostrailroadbrewhaus.com/,2018-09-28,Wunderfund,OHIO,United States,others
020-27236,0001670254-20-001082,3,1,0,unknown,4Q,82,540000,260000,2021-01-31,2021-03-31,1,0.00,Preferred Stock,5400,100,Y,Other,600000,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"El Condor, LLC",Limited Liability Company,2020-09-03,New York,NY,10001,https://wilcuma.com,2020-11-24,Wefunder Portal LLC,NEW YORK,United States,Wefunder Portal LLC
020-23645,0001716818-17-000001,3,2,0,unknown,4Q,85,25000,25000,2017-12-08,2017-12-08,1,0.00,Preferred Stock,500000,1,Y,"First-come, first-served basis",500000,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Copdate USA Inc.,Corporation,2017-07-12,Dover,DE,19901,https://www.copdate.com/,2017-10-05,SeedInvest,DELAWARE,United States,SeedInvest
020-26600,0001670254-20-000581,1,0,0,unknown,3Q,1392,50000,50000,2020-11-13,2020-11-13,1,0.00,Other,50000,1,Y,Other,500000,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Eruditely, Inc.",Corporation,2016-09-09,North Bend,WA,98045,https://eruditely.com,2020-07-02,Wefunder Portal LLC,WASHINGTON,United States,Wefunder Portal LLC
020-31041,0001670254-22-001023,1,0,0,unknown,4Q,420,50000,50000,2023-04-30,2023-04-30,1,0.00,Other,50000,1,Y,Other,500000,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Switch Enterprises Inc.,Corporation,2021-08-09,Atlanta,GA,30308,http://myswitchapp.com/,2022-10-03,Wefunder Portal LLC,GEORGIA,United States,Wefunder Portal LLC
020-24443,0001665160-18-000641,1,0,0,unknown,3Q,88,10000,10000,2018-09-27,2018-09-27,1,0.00,Common Stock,50000,0.2,Y,Other,500000,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"White Cross Projects, Inc.",Corporation,2018-04-05,Marina del Rey,CA,90292,www.celebrityvaultla.com,2018-07-02,StartEngine,CALIFORNIA,United States,StartEngine
020-30238,0001670254-22-000617,1,0,0,unknown,2Q,98,50000,50000,2023-04-30,2023-04-30,1,0.00,Common Stock,85715,0.58333,Y,Other,499999.56,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"JMSquared, PBC",Other,2022-02-17,Austin,TX,78746,http://www.theconsciouspet.life,2022-05-26,Wefunder Portal LLC,TEXAS,United States,Wefunder Portal LLC
020-27122,0001670254-20-000993,4,1,0,unknown,4Q,75,80000,80000,2021-02-28,2021-04-28,1,0.00,Other,80000,1,Y,Other,450000,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Scrap Film LLC,Limited Liability Company,2020-08-16,Los Angeles,CA,90004,http://scrapthefilm.com/,2020-10-30,Wefunder Portal LLC,CALIFORNIA,United States,Wefunder Portal LLC
020-23628,0001665160-17-000444,1,0,0,unknown,3Q,249,9996,9996,2018-01-26,2018-01-26,1,0.00,Common Stock,1428,7,Y,Other,411145,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Los Angeles SuperStars, Inc",Corporation,2017-01-22,Los Angeles,CA,90017,www.lasuperstarsbb.com,2017-09-28,StartEngine,CALIFORNIA,United States,StartEngine
020-31132,0001670254-22-001081,1,0,0,unknown,4Q,48,100000,100000,2023-04-30,2023-04-30,1,0.00,Other,100000,1,Y,Other,400000,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Four Doors Film LLC,Limited Liability Company,2022-08-30,Studio City,CA,91604,http://www.apollo-management.com,2022-10-17,Wefunder Portal LLC,CALIFORNIA,United States,Wefunder Portal LLC
020-24571,0001746875-18-000002,2,1,0,unknown,3Q,62,200000,60000,2018-10-22,2018-12-13,1,0.00,Debt,,,Y,"First-come, first-served basis",375000,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bantam Holdiings LLC,Limited Liability Company,2018-06-07,Oregon City,OR,97045,https://townecrierportland.com/,2018-08-08,NextSeed,OREGON,United States,NextSeed
020-24995,0001759426-18-000008,1,0,0,unknown,4Q,89,150000,150000,2019-03-12,2019-03-12,1,0.00,Debt,,,Y,"First-come, first-served basis",300000,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Avila's Restaurant Number 2, LLC",Limited Liability Company,2018-09-13,Dallas,TX,75229,http://avilasrestaurant.com/,2018-12-11,NextSeed,TEXAS,United States,NextSeed
020-23682,0001718971-17-000001,2,1,0,unknown,4Q,118,50000,50000,2017-12-17,2018-01-08,1,0.00,Other,50000,1,Y,Other,275000,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PopDocs Media LLC,Limited Liability Company,2017-06-21,Los Angeles,CA,90042,http://www.popdocsmedia.com/,2017-10-17,First Democracy VC,CALIFORNIA,United States,others
020-25049,0001668287-18-000089,3,1,0,unknown,4Q,231,150000,150000,2019-10-12,2020-07-06,1,0.00,Other,150000,1,Y,Pro-rata basis,250000,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Zamii Clean USA Carpet & Upholstery Cleaning Corp.,Corporation,2018-05-14,Tucson,AZ,85701,zamiiclean.com/,2018-12-31,Razitall Inc,ARIZONA,United States,others
020-29653,0001670254-22-000133,1,0,0,unknown,1Q,2316,50000,50000,2022-04-30,2022-04-30,1,0.00,Other,50000,1,Y,Other,250000,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Legal Equalizer, Inc.",Corporation,2015-10-06,Davidson,NC,28036,https://legalequalizer.com/,2022-02-07,Wefunder Portal LLC,NORTH CAROLINA,United States,Wefunder Portal LLC
020-26606,0001813064-20-000001,5,3,1,OFFERING MINIMUM WAS NOT MET; FUNDS BEING RETURNED TO INVESTORS.,3Q,237,50000,50000,2020-10-05,2021-02-22,0,0.00,Other,50000,1,Y,Other,250000,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"PLM Brands, Corp.",Corporation,2019-11-13,San Marcos,CA,92078,www.fogandtree.com,2020-07-07,MicroVenture Marketplace Inc.,CALIFORNIA,United States,MicroVenture Marketplace Inc.
020-28307,0001670254-21-000752,1,0,0,unknown,2Q,207,50000,50000,2022-04-30,2022-04-30,1,0.00,Other,50000,1,Y,Other,250000,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bewell Digital Inc,Corporation,2020-11-30,Palo Alto,CA,94304,http://bewelldigital.com,2021-06-25,Wefunder Portal LLC,CALIFORNIA,United States,Wefunder Portal LLC
020-27648,0001670254-21-000170,1,0,0,unknown,1Q,16,50000,50000,2022-04-30,2022-04-30,1,0.00,Other,50000,1,Y,Other,250000,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HoonCo LLC,Limited Liability Company,2021-02-02,Allentown,PA,18104,http://hoonco.com,2021-02-18,Wefunder Portal LLC,PENNSYLVANIA,United States,Wefunder Portal LLC
020-29880,0001916408-22-000002,2,0,0,unknown,1Q,127,25000,25000,2022-09-30,2022-09-30,1,0.00,Common Stock,12500,2,Y,"First-come, first-served basis",250000,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Housing Us Holdings II, Inc,",Corporation,2021-11-15,ELIZABETH,NJ,7208,https://housingus.co/,2022-03-22,"Fundify Portal, LLC",NEW JERSEY,United States,others
020-30550,0001746059-22-000270,2,0,0,unknown,3Q,623,230000,230000,2022-10-14,2022-10-14,1,0.00,Debt,,1,Y,"First-come, first-served basis",250000,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Baby Duck LLC,Limited Liability Company,2020-11-04,DIAMOND BAR,CA,91765,http://babyduckconsulting.com,2022-07-20,"MainVest, Inc.",CALIFORNIA,United States,"MainVest, Inc."
020-30024,0001746059-22-000144,2,0,0,unknown,2Q,210,200000,200000,2022-07-01,2022-07-01,1,0.00,Debt,,1,Y,"First-come, first-served basis",250000,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Maine Cannabis & Honey LLC,Limited Liability Company,2021-09-13,GORHAM,ME,4038,http://www.MaineCannabisHoney.com,2022-04-11,"MainVest, Inc.",MAINE,United States,"MainVest, Inc."
020-26961,0001746059-20-000294,3,1,0,unknown,3Q,1702,150000,150000,2020-12-02,2020-12-02,1,0.00,Debt,,1,Y,"First-come, first-served basis",250000,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Groundlion Brewing Company, LLC",Limited Liability Company,2016-01-28,SEAGROVE,NC,27341,groundlionbrewing.com,2020-09-25,"MainVest, Inc.",NORTH CAROLINA,United States,"MainVest, Inc."
020-30787,0001746059-22-000315,2,0,0,unknown,3Q,233,75000,75000,2022-10-28,2022-10-28,1,0.00,Debt,,1,Y,"First-come, first-served basis",250000,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Besse Enterprises Co,Corporation,2022-01-03,WAREHAM,MA,2571,http://Bessecustomcreations.com,2022-08-24,"MainVest, Inc.",MASSACHUSETTS,United States,"MainVest, Inc."
020-29955,0001746059-22-000128,2,0,0,unknown,1Q,415,50000,50000,2022-06-24,2022-06-24,1,0.00,Debt,,1,Y,"First-come, first-served basis",250000,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Happy Flower LLC,Limited Liability Company,2021-02-08,WORCESTER,MA,1603,http://happyflowerllc.com,2022-03-30,"MainVest, Inc.",MASSACHUSETTS,United States,"MainVest, Inc."
020-27136,0001746059-20-000368,4,2,0,unknown,4Q,754,50000,20000,2021-01-13,2021-03-01,1,0.00,Debt,,1,Y,"First-come, first-served basis",250000,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Brubakers Cafe & Bakery, LLC",Limited Liability Company,2018-10-10,HOPKINS,SC,29061,https://www.brubakers.coffee/,2020-11-02,"MainVest, Inc.",SOUTH CAROLINA,United States,"MainVest, Inc."
020-29751,0001901311-22-000002,5,2,0,unknown,1Q,84,10150,10150,2022-07-30,2022-08-31,1,0.00,Common Stock,29,350,Y,"First-come, first-served basis",249900,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"TrueGen Health, Inc.",Corporation,2021-12-01,HINSDALE,IL,60521,https://truegen.io/,2022-02-23,"Fundify Portal, LLC",ILLINOIS,United States,others
020-30171,0001926659-22-000001,1,0,0,unknown,2Q,52,25000,25000,2022-06-27,2022-06-27,1,0.00,Debt,,1,Y,"First-come, first-served basis",200000,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Red Flags Brewing Co LLC,Limited Liability Company,2022-03-21,SEGUIN,TX,78155,Www.redflagsbrewing.com,2022-05-12,Honeycomb Portal LLC,TEXAS,United States,Honeycomb Portal LLC
020-24622,0001750513-18-000001,6,1,0,unknown,3Q,59,150000,150000,2018-10-31,2018-10-31,1,0.00,Debt,,,Y,"First-come, first-served basis",175000,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Oz. House LLC,Limited Liability Company,2018-07-02,AUSTIN,TX,78730,www.oztaphouse.com,2018-08-30,NextSeed,TEXAS,United States,NextSeed
020-29197,0001670254-21-001306,3,2,0,unknown,4Q,20,100000,100000,2022-04-30,2022-04-30,1,0.00,Other,150000,1,Y,Other,155000,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Runner City, LLC",Limited Liability Company,2021-10-29,Austin,TX,78704,http://www.runner-city.com,2021-11-18,Wefunder Portal LLC,TEXAS,United States,Wefunder Portal LLC
020-26927,0001746059-20-000288,2,0,0,unknown,3Q,113,50000,50000,2020-12-02,2020-12-02,1,0.00,Debt,,1,Y,"First-come, first-served basis",150000,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Reel Big Flix, LLC",Limited Liability Company,2020-05-28,RIO RANCHO,NM,87124,http://www.reelbigflix.com,2020-09-18,"MainVest, Inc.",NEW MEXICO,United States,"MainVest, Inc."
020-29103,0001886474-21-000003,1,0,0,unknown,4Q,488,25000,25000,2021-12-21,2021-12-21,1,0.00,Debt,,1,Y,"First-come, first-served basis",150000,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M.O. Food & Distribution LLC,Limited Liability Company,2020-07-03,LOGANVILLE,GA,30052,https://mofood.org/,2021-11-03,Honeycomb Portal LLC,GEORGIA,United States,Honeycomb Portal LLC
020-31304,0001670254-22-001189,1,0,0,unknown,4Q,337,50000,50000,2023-04-30,2023-04-30,1,0.00,Other,50000,1,Y,Other,124000,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Nexus Build Inc.,Corporation,2021-12-13,Pflugerville,TX,78660,http://nexusbuild.com,2022-11-15,Wefunder Portal LLC,TEXAS,United States,Wefunder Portal LLC
020-31231,0001670254-22-001151,1,0,0,unknown,4Q,153,25000,25000,2023-04-30,2023-04-30,1,0.00,Other,25000,1,Y,Other,124000,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tersho Inc.,Corporation,2022-06-02,Lewes,DE,19958,https://www.tersho.com/,2022-11-02,Wefunder Portal LLC,DELAWARE,United States,Wefunder Portal LLC
020-32110,0001956394-23-000001,2,1,0,unknown,2Q,368,25000,25000,2023-05-03,2023-05-04,1,0.00,Other,1,1,Y,"First-come, first-served basis",124000,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Inbox Beverage, Inc.",Corporation,2022-03-31,ASHEVILLE,NC,28803,www.inboxbeverage.com,2023-04-03,Honeycomb Portal LLC,NORTH CAROLINA,United States,Honeycomb Portal LLC
020-31367,0001746059-22-000410,2,0,0,unknown,4Q,286,100000,100000,2023-01-27,2023-01-27,1,0.00,Debt,,1,Y,"First-come, first-served basis",124000,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pinpin Co LLC,Limited Liability Company,2022-02-10,CARY,NC,27419,www.leankitchenco.com,2022-11-23,"MainVest, Inc.",NORTH CAROLINA,United States,"MainVest, Inc."
020-32455,0001746059-23-000151,2,0,0,unknown,2Q,10,40000,40000,2023-08-11,2023-08-11,1,0.00,Debt,,1,Y,"First-come, first-served basis",124000,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bear Cub Play Cafe, LLC",Limited Liability Company,2023-05-30,JERFFERSONVILLE,IN,47130,http://Sites.google.com/view/bearcubplaycafe,2023-06-09,"MainVest, Inc.",INDIANA,United States,"MainVest, Inc."
020-29543,0001746059-22-000026,2,0,0,unknown,1Q,525,50000,50000,2022-03-16,2022-03-16,1,0.00,Debt,,1,Y,"First-come, first-served basis",120000,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mystic Picnic LLC,Limited Liability Company,2020-08-11,SPRINGFIELD,TN,37172,http://www.mysticpicnicwine.com,2022-01-18,"MainVest, Inc.",TENNESSEE,United States,"MainVest, Inc."
020-24895,0001665160-18-001211,1,0,0,unknown,4Q,576,10000,10000,2019-02-12,2019-02-12,1,0.00,Other,100000,0.1,Y,Other,107000,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Smart Snow Solutions LLC,Limited Liability Company,2017-04-17,MIRAMAR,FL,33029,www.snowsolution.net,2018-11-14,StartEngine,FLORIDA,United States,StartEngine
020-23785,0001665160-17-000601,1,0,0,unknown,4Q,77,10000,10000,2018-01-17,2018-01-17,1,0.00,Common Stock,100000,0.1,Y,Other,107000,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,WangleSpace LLC,Limited Liability Company,2017-09-01,Phoenix,AZ,85050,http://wanglespace.com,2017-11-17,StartEngine,ARIZONA,United States,StartEngine
020-26681,0001670254-20-000650,2,1,0,unknown,3Q,7,65000,65000,2020-11-20,2021-04-20,1,0.00,Other,65000,1,Y,Other,107000,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AUTONOMOUS MOTOR SPORT LEAGUE INC,Corporation,2020-07-17,Oakland,CA,94607,http://apracing.io,2020-07-24,Wefunder Portal LLC,CALIFORNIA,United States,Wefunder Portal LLC
020-25493,0001670254-19-000409,1,0,0,unknown,3Q,159,50000,50000,2019-10-03,2019-10-03,1,0.00,Other,50000,1,Y,Other,107000,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"iGems TV, Inc.",Corporation,2019-02-07,Santa Monica,CA,90405,http://www.igems.tv/,2019-07-16,Wefunder Portal LLC,CALIFORNIA,United States,Wefunder Portal LLC
020-24945,0001669191-18-000511,14,13,0,unknown,4Q,70,10000,10000,2019-02-27,2020-12-23,1,0.00,Common Stock,50000,0.2,Y,"First-come, first-served basis",107000,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Domestic Brands Inc,Corporation,2018-09-19,Long Beach,CA,90802,cnctea.com,2018-11-28,NetCapital Funding Portal Inc.,CALIFORNIA,United States,NetCapital Funding Portal Inc.
020-29457,0001892429-21-000001,4,3,0,unknown,4Q,99,25000,25000,2022-03-31,2022-07-01,1,0.00,Other,25000,1,Y,"First-come, first-served basis",107000,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"PlusMedia Solutions, Inc.",Corporation,2021-09-21,BRANFORD,CT,6405,https://www.plusmedia.solutions,2021-12-29,Ignite Social Impact,CONNECTICUT,United States,others
